sorszám;cím;alcím;ünnepkör;kategória;előjegyzés;ütemmutató;versszakok száma
77;Megváltó királyunk;Virágvasárnapra;nagyböjt, nagyhét;;2#;4/4;7
78;Szívünk, lelkünk most kitárjuk;Keresztúti ének;nagyböjt, nagyhét;;-;4/4, 2/4;16
79;Áhítattal készülődjünk;Miseének Nagycsütörtökre;nagyhét;ének az Oltáriszentségről, miseének;1b;4/4;7
80;E szín alatt;Nagycsütörtökre;nagyhét;ének az Oltáriszentségről;1#;4/4;10
81;Én nemzetem;Nagypéntekre;nagyböjt, nagyhét;;2#;4/4;10
82;Királyi zászló jár elől;Nagypéntekre;nagyböjt, nagyhét;;3b;3/4;7
83;Mint a szarvas ér vizéhez;Nagyszombatra;nagyhét;bűnbánati ének;-;4/4;4
84;Krisztus feltámadott, üljük meg;Miseének;húsvét;;3b;4/4;6
85;Örvendjetek, angyalok;Miseének;húsvét;;-;4/4;8
86;Dicsőség, szent áldás;;húsvét;;1b;4/4;4
87;Föltámadt Krisztus;;húsvét;;-;3/4;20
88;Krisztus feltámadott! Halljátok meg;;húsvét;;2b;4/4;4
89;Krisztus, virágunk;;húsvét;;3b;3/4;11
90;Örvendetes napunk támadt;;húsvét;;-;4/4;5
91;Szent asszonyok jókor reggel;;húsvét;;2b;4/4;3
92;Szent Magdolna elmene;;húsvét;;-;4/4;15
93;Megjelentünk hajlékodban;Miseének;Áldozócsütörtök;miseének;-;4/4;7
94;Galileai férfiak;;Áldozócsütörtök;ének Jézusról;-;4/4;6
95;Krisztus a mennybe fölmene;;Áldozócsütörtök;;3#;3/4;8
96;Krisztus mennybe fölmene;;Áldozócsütörtök;;-;4/4;8
97;Jöjj, Szentlélek Istenünk;;pünkösd;;1#;4/4;10
98;Szállj szívünkbe, nagy Isten;Miseének;pünkösd;;-;4/4;6
99;Ó alkotó Lélek, jövel;;pünkösd;;-;3/4;6
100;Ó Szentlélek Úristenünk;;pünkösd;;1#;4/4;6
101;Szállj ránk, életadó Lélek;;pünkösd;;-;4/4;7
102;Szentlélek Isten, szállj reánk;;pünkösd;;3b;3/4;7
103;Téged kérünk, Atyaisten;;pünkösd;;1#;4/4;9
104;Kiben élünk;;Szentháromság vasárnapja;;1b;4/4;2
105;Szentháromságnak életem, halálom;;Szentháromság vasárnapja;;1b;4/4;5
106;Ó, ki ez oltáron;Miseének;Úrnapja;;3#;4/4;6
107;Dícsérd Sion Üdvözítőd;;Úrnapja;;2b;4/4;18
108;Mondj éneket;;Úrnapja;;1b;4/4;4
109;Áldjad, ember, e nagy Jódat;;;ének az Oltáriszentségről;3b;4/4;8
110;Áldunk téged, ó angyali kenyér;;;ének az Oltáriszentségről;2b;4/4;2
111;Csodákkal tündöklő;;;ének az Oltáriszentségről;2#;3/4;3
112;Ez nagy Szentség valóban;;;ének az Oltáriszentségről;1#;4/4;6
113;Édes Jézus, neked élek;Áldoztatáskor;;ének az Oltáriszentségről;1#;4/4;1
114;Égből szállott szent kenyér;;;ének az Oltáriszentségről;-;4/4;6
115;Hadd lankadjak;;;ének az Oltáriszentségről;1#;4/4;4
116;Imádlak, nagy Istenség;;;ének az Oltáriszentségről;1#;4/4;6
117;Istenség mélysége;;;ének az Oltáriszentségről;2#;4/4;4
118;Krisztus teste és szent vére;;;ének az Oltáriszentségről;1#;4/4;6
119;Leborulva áldlak;;;ének az Oltáriszentségről;-;4/4;5
120;Menyegzős köntösbe;;;ének az Oltáriszentségről;2b;4/4;7
121;Mindeneknek szemei;;;ének az Oltáriszentségről;1#;4/4;8
122;Most az Úr Krisztusnak;;;ének az Oltáriszentségről;2#;4/4;3
123;Most lett a kenyér;;;ének az Oltáriszentségről;-;4/4;6
124;Most nyomorult szolgád;;;ének az Oltáriszentségről;3#;4/4;4
125;Ne törd magad;;;ének az Oltáriszentségről;3#;4/4;4
126;Ó áldott szent Istenem;;;ének az Oltáriszentségről;-;4/4;4
127;Ó szentséges, ó kegyelmes;Áldoztatáskor;;ének az Oltáriszentségről;1#;4/4;3
128;Porba hullok ím előtted;;;ének az Oltáriszentségről;3#;4/4;4
129;Szent vagy, Uram;;;ének az Oltáriszentségről;2#;4/4;3
130;Szerelmes, édes Jézusom;;;ének az Oltáriszentségről;1b;3/4;5
131;Templom csendes mélyén;Szentségimádásra;;ének az Oltáriszentségről;2b;4/4;4
132;Üdvözlégy, édes Jézusunk;;;ének az Oltáriszentségről;1#;4/4;7
133;Üdvözlégy, Felség;;;ének az Oltáriszentségről;1#;3/4;5
134;Üdvözlégy, Krisztusnak;;;ének az Oltáriszentségről;2b;4/4;7
135;Üdvözlégy, ó drágalátos;;;ének az Oltáriszentségről;1#;4/4;3
136;Üdvözlégy Oltáriszentség;;;ének az Oltáriszentségről;-;4/4;4
137;Üdvözlégy, szent test;;;ének az Oltáriszentségről;2#;4/4;6
138;Üdvözlégy, szép rózsa;;;ének az Oltáriszentségről;3#;3/4;3
139;Ó Uram, nem vagyok én méltó;Áldoztatáskor;;ének az Oltáriszentségről;2#;4/4;1
140;Üdvözlégy, üdvösséges Ostya;;;ének az Oltáriszentségről;2#;4/4;4
141;Velünk lakó tiszta Ostya;;;ének az Oltáriszentségről;2b;4/4;4
